Record #:  2
Notes :


19/03/201910:41:26Record #:  2
Notes :


19/03/201910:41:26
Volts Data

CH1	CH2	CH3	CH4	CH5	CH6	CH7	CH8	
23.505011E-3	-6.115225E-3	-11.629649E-3	400.031691E-3	399.999952E-3	399.999952E-3	399.999952E-3	399.999952E-3
23.491346E-3	-6.113418E-3	-11.669722E-3	400.030892E-3	399.999952E-3	399.999952E-3	399.999952E-3	399.999952E-3
23.481787E-3	-6.097489E-3	-11.635190E-3	400.026672E-3	399.999952E-3	399.999952E-3	399.999952E-3	399.999952E-3
23.479441E-3	-6.073034E-3	-11.540111E-3	400.020594E-3	399.999952E-3	399.999952E-3	399.999952E-3	399.999952E-3
23.484713E-3	-6.048093E-3	-11.420581E-3	400.013957E-3	399.999952E-3	399.999952E-3	399.999952E-3	399.999952E-3
23.494426E-3	-6.029513E-3	-11.320721E-3	400.007722E-3	399.999952E-3	399.999952E-3	399.999952E-3	399.999952E-3
23.504304E-3	-6.022018E-3	-11.278141E-3	400.002505E-3	399.999952E-3	399.999952E-3	399.999952E-3	399.999952E-3
23.511568E-3	-6.027799E-3	-11.310405E-3	399.998606E-3	399.999952E-3	399.999952E-3	399.999952E-3	399.999952E-3
23.514480E-3	-6.044261E-3	-11.405826E-3	399.996079E-3	399.999952E-3	399.999952E-3	399.999952E-3	399.999952E-3
23.511718E-3	-6.063667E-3	-11.526615E-3	399.994798E-3	399.999952E-3	399.999952E-3	399.999952E-3	399.999952E-3
23.504284E-3	-6.077552E-3	-11.625192E-3	399.994526E-3	399.999952E-3	399.999952E-3	399.999952E-3	399.999952E-3
23.496682E-3	-6.081739E-3	-11.664029E-3	399.994982E-3	399.999952E-3	399.999952E-3	399.999952E-3	399.999952E-3
23.493915E-3	-6.076813E-3	-11.629408E-3	399.995886E-3	399.999952E-3	399.999952E-3	399.999952E-3	399.999952E-3
23.497780E-3	-6.065919E-3	-11.535309E-3	399.996991E-3	399.999952E-3	399.999952E-3	399.999952E-3	399.999952E-3
23.507011E-3	-6.054103E-3	-11.417255E-3	399.998104E-3	399.999952E-3	399.999952E-3	399.999952E-3	399.999952E-3
23.519152E-3	-6.047830E-3	-11.319077E-3	399.999090E-3	399.999952E-3	399.999952E-3	399.999952E-3	399.999952E-3
23.530867E-3	-6.052099E-3	-11.277912E-3	399.999872E-3	399.999952E-3	399.999952E-3	399.999952E-3	399.999952E-3
23.538465E-3	-6.067632E-3	-11.310677E-3	400.000420E-3	399.999952E-3	399.999952E-3	399.999952E-3	399.999952E-3
23.539379E-3	-6.090357E-3	-11.405744E-3	400.000743E-3	399.999952E-3	399.999952E-3	399.999952E-3	399.999952E-3
