Record #:  4
Notes :


19/03/201910:42:42Record #:  4
Notes :


19/03/201910:42:42
Volts Data

CH1	CH2	CH3	CH4	CH5	CH6	CH7	CH8	
23.516004E-3	-3.519414E-3	-11.475302E-3	400.031693E-3	399.999952E-3	399.999952E-3	399.999952E-3	399.999952E-3
23.511384E-3	-3.542384E-3	-11.582698E-3	400.030896E-3	399.999952E-3	399.999952E-3	399.999952E-3	399.999952E-3
23.511090E-3	-3.556228E-3	-11.621686E-3	400.026677E-3	399.999952E-3	399.999952E-3	399.999952E-3	399.999952E-3
23.514079E-3	-3.557961E-3	-11.579240E-3	400.020599E-3	399.999952E-3	399.999952E-3	399.999952E-3	399.999952E-3
23.518623E-3	-3.548877E-3	-11.472994E-3	400.013962E-3	399.999952E-3	399.999952E-3	399.999952E-3	399.999952E-3
23.523501E-3	-3.534871E-3	-11.343834E-3	400.007726E-3	399.999952E-3	399.999952E-3	399.999952E-3	399.999952E-3
23.528425E-3	-3.524656E-3	-11.241097E-3	400.002507E-3	399.999952E-3	399.999952E-3	399.999952E-3	399.999952E-3
23.532764E-3	-3.525403E-3	-11.205392E-3	399.998608E-3	399.999952E-3	399.999952E-3	399.999952E-3	399.999952E-3
23.533939E-3	-3.537885E-3	-11.252460E-3	399.996080E-3	399.999952E-3	399.999952E-3	399.999952E-3	399.999952E-3
23.528268E-3	-3.555533E-3	-11.364628E-3	399.994798E-3	399.999952E-3	399.999952E-3	399.999952E-3	399.999952E-3
23.514484E-3	-3.568986E-3	-11.497357E-3	399.994525E-3	399.999952E-3	399.999952E-3	399.999952E-3	399.999952E-3
23.496115E-3	-3.571856E-3	-11.598428E-3	399.994981E-3	399.999952E-3	399.999952E-3	399.999952E-3	399.999952E-3
23.480130E-3	-3.563440E-3	-11.629139E-3	399.995885E-3	399.999952E-3	399.999952E-3	399.999952E-3	399.999952E-3
23.472574E-3	-3.547407E-3	-11.578674E-3	399.996990E-3	399.999952E-3	399.999952E-3	399.999952E-3	399.999952E-3
23.475065E-3	-3.529034E-3	-11.466912E-3	399.998103E-3	399.999952E-3	399.999952E-3	399.999952E-3	399.999952E-3
23.485337E-3	-3.514159E-3	-11.335689E-3	399.999090E-3	399.999952E-3	399.999952E-3	399.999952E-3	399.999952E-3
23.499748E-3	-3.508849E-3	-11.233725E-3	399.999872E-3	399.999952E-3	399.999952E-3	399.999952E-3	399.999952E-3
23.514724E-3	-3.517551E-3	-11.200015E-3	400.000420E-3	399.999952E-3	399.999952E-3	399.999952E-3	399.999952E-3
23.526899E-3	-3.540231E-3	-11.248427E-3	400.000742E-3	399.999952E-3	399.999952E-3	399.999952E-3	399.999952E-3
23.533285E-3	-3.571061E-3	-11.360170E-3	400.000871E-3	399.999952E-3	399.999952E-3	399.999952E-3	399.999952E-3
23.532222E-3	-3.600301E-3	-11.490842E-3	400.000851E-3	399.999952E-3	399.999952E-3	399.999952E-3	399.999952E-3
23.524555E-3	-3.618436E-3	-11.588842E-3	400.000730E-3	399.999952E-3	399.999952E-3	399.999952E-3	399.999952E-3
23.513769E-3	-3.620179E-3	-11.615787E-3	400.000555E-3	399.999952E-3	399.999952E-3	399.999952E-3	399.999952E-3
23.504455E-3	-3.606276E-3	-11.561060E-3	400.000362E-3	399.999952E-3	399.999952E-3	399.999952E-3	399.999952E-3
23.500079E-3	-3.582641E-3	-11.444843E-3	400.000181E-3	399.999952E-3	399.999952E-3	399.999952E-3	399.999952E-3
23.501182E-3	-3.557355E-3	-11.309156E-3	400.000029E-3	399.999952E-3	399.999952E-3	399.999952E-3	399.999952E-3
23.505020E-3	-3.537257E-3	-11.202581E-3	399.999915E-3	399.999952E-3	399.999952E-3	399.999952E-3	399.999952E-3
23.507702E-3	-3.526396E-3	-11.163698E-3	399.999841E-3	399.999952E-3	399.999952E-3	399.999952E-3	399.999952E-3
23.506658E-3	-3.525446E-3	-11.206241E-3	399.999803E-3	399.999952E-3	399.999952E-3	399.999952E-3	399.999952E-3
23.500955E-3	-3.530757E-3	-11.311985E-3	399.999795E-3	399.999952E-3	399.999952E-3	399.999952E-3	399.999952E-3
23.491359E-3	-3.535583E-3	-11.437400E-3	399.999808E-3	399.999952E-3	399.999952E-3	399.999952E-3	399.999952E-3
23.480945E-3	-3.533832E-3	-11.531562E-3	399.999834E-3	399.999952E-3	399.999952E-3	399.999952E-3	399.999952E-3
23.473389E-3	-3.522075E-3	-11.556355E-3	399.999866E-3	399.999952E-3	399.999952E-3	399.999952E-3	399.999952E-3
23.470130E-3	-3.499357E-3	-11.500846E-3	399.999898E-3	399.999952E-3	399.999952E-3	399.999952E-3	399.999952E-3
23.470528E-3	-3.468043E-3	-11.384615E-3	399.999927E-3	399.999952E-3	399.999952E-3	399.999952E-3	399.999952E-3
23.473833E-3	-3.434654E-3	-11.249669E-3	399.999950E-3	399.999952E-3	399.999952E-3	399.999952E-3	399.999952E-3
23.479699E-3	-3.408041E-3	-11.145445E-3	399.999966E-3	399.999952E-3	399.999952E-3	399.999952E-3	399.999952E-3
23.487346E-3	-3.395405E-3	-11.111362E-3	399.999975E-3	399.999952E-3	399.999952E-3	399.999952E-3	399.999952E-3
23.494990E-3	-3.398575E-3	-11.161060E-3	399.999979E-3	399.999952E-3	399.999952E-3	399.999952E-3	399.999952E-3
23.500202E-3	-3.412747E-3	-11.275171E-3	399.999978E-3	399.999952E-3	399.999952E-3	399.999952E-3	399.999952E-3
23.500973E-3	-3.428411E-3	-11.408447E-3	399.999975E-3	399.999952E-3	399.999952E-3	399.999952E-3	399.999952E-3
23.497261E-3	-3.435832E-3	-11.508857E-3	399.999970E-3	399.999952E-3	399.999952E-3	399.999952E-3	399.999952E-3
23.491759E-3	-3.429633E-3	-11.538748E-3	399.999964E-3	399.999952E-3	399.999952E-3	399.999952E-3	399.999952E-3
