Record #:  1
Notes :


19/03/201910:40:58Record #:  1
Notes :


19/03/201910:40:58
Volts Data

CH1	CH2	CH3	CH4	CH5	CH6	CH7	CH8	
23.410072E-3	-5.720188E-3	-11.285919E-3	400.031721E-3	399.999952E-3	399.999952E-3	399.999952E-3	399.999952E-3
23.400227E-3	-5.690407E-3	-11.203289E-3	400.030930E-3	399.999952E-3	399.999952E-3	399.999952E-3	399.999952E-3
23.406345E-3	-5.663673E-3	-11.090784E-3	400.026710E-3	399.999952E-3	399.999952E-3	399.999952E-3	399.999952E-3
23.426627E-3	-5.649379E-3	-10.989549E-3	400.020629E-3	399.999952E-3	399.999952E-3	399.999952E-3	399.999952E-3
23.455158E-3	-5.652786E-3	-10.937053E-3	400.013985E-3	399.999952E-3	399.999952E-3	399.999952E-3	399.999952E-3
23.484361E-3	-5.673852E-3	-10.953856E-3	400.007743E-3	399.999952E-3	399.999952E-3	399.999952E-3	399.999952E-3
23.507061E-3	-5.706741E-3	-11.034787E-3	400.002517E-3	399.999952E-3	399.999952E-3	399.999952E-3	399.999952E-3
23.517882E-3	-5.740860E-3	-11.149514E-3	399.998612E-3	399.999952E-3	399.999952E-3	399.999952E-3	399.999952E-3
23.515086E-3	-5.764829E-3	-11.254889E-3	399.996079E-3	399.999952E-3	399.999952E-3	399.999952E-3	399.999952E-3
23.501856E-3	-5.771510E-3	-11.312324E-3	399.994794E-3	399.999952E-3	399.999952E-3	399.999952E-3	399.999952E-3
23.485017E-3	-5.760655E-3	-11.301824E-3	399.994520E-3	399.999952E-3	399.999952E-3	399.999952E-3	399.999952E-3
23.471817E-3	-5.738267E-3	-11.229046E-3	399.994975E-3	399.999952E-3	399.999952E-3	399.999952E-3	399.999952E-3
23.467146E-3	-5.714053E-3	-11.122948E-3	399.995880E-3	399.999952E-3	399.999952E-3	399.999952E-3	399.999952E-3
23.472391E-3	-5.698287E-3	-11.024272E-3	399.996986E-3	399.999952E-3	399.999952E-3	399.999952E-3	399.999952E-3
23.485091E-3	-5.698119E-3	-10.970533E-3	399.998100E-3	399.999952E-3	399.999952E-3	399.999952E-3	399.999952E-3
23.499663E-3	-5.714581E-3	-10.982777E-3	399.999087E-3	399.999952E-3	399.999952E-3	399.999952E-3	399.999952E-3
23.510068E-3	-5.742501E-3	-11.057197E-3	399.999871E-3	399.999952E-3	399.999952E-3	399.999952E-3	399.999952E-3
23.512433E-3	-5.772729E-3	-11.165690E-3	400.000420E-3	399.999952E-3	399.999952E-3	399.999952E-3	399.999952E-3
23.506209E-3	-5.795431E-3	-11.266960E-3	400.000743E-3	399.999952E-3	399.999952E-3	399.999952E-3	399.999952E-3
23.494522E-3	-5.804113E-3	-11.323217E-3	400.000872E-3	399.999952E-3	399.999952E-3	399.999952E-3	399.999952E-3
23.482993E-3	-5.798161E-3	-11.314943E-3	400.000851E-3	399.999952E-3	399.999952E-3	399.999952E-3	399.999952E-3
23.476771E-3	-5.782209E-3	-11.247765E-3	400.000731E-3	399.999952E-3	399.999952E-3	399.999952E-3	399.999952E-3
23.478064E-3	-5.763637E-3	-11.149050E-3	400.000555E-3	399.999952E-3	399.999952E-3	399.999952E-3	399.999952E-3
23.485532E-3	-5.749833E-3	-11.056705E-3	400.000363E-3	399.999952E-3	399.999952E-3	399.999952E-3	399.999952E-3
23.495206E-3	-5.745853E-3	-11.005688E-3	400.000182E-3	399.999952E-3	399.999952E-3	399.999952E-3	399.999952E-3
23.502707E-3	-5.753318E-3	-11.016284E-3	400.000029E-3	399.999952E-3	399.999952E-3	399.999952E-3	399.999952E-3
23.505281E-3	-5.770162E-3	-11.085808E-3	399.999915E-3	399.999952E-3	399.999952E-3	399.999952E-3	399.999952E-3
23.501872E-3	-5.790411E-3	-11.187475E-3	399.999841E-3	399.999952E-3	399.999952E-3	399.999952E-3	399.999952E-3
23.492619E-3	-5.805492E-3	-11.280511E-3	399.999803E-3	399.999952E-3	399.999952E-3	399.999952E-3	399.999952E-3
23.479423E-3	-5.808021E-3	-11.327481E-3	399.999795E-3	399.999952E-3	399.999952E-3	399.999952E-3	399.999952E-3
23.466168E-3	-5.795591E-3	-11.309072E-3	399.999808E-3	399.999952E-3	399.999952E-3	399.999952E-3	399.999952E-3
23.456941E-3	-5.771470E-3	-11.230603E-3	399.999834E-3	399.999952E-3	399.999952E-3	399.999952E-3	399.999952E-3
23.453862E-3	-5.742578E-3	-11.119647E-3	399.999866E-3	399.999952E-3	399.999952E-3	399.999952E-3	399.999952E-3
23.456903E-3	-5.717395E-3	-11.016105E-3	399.999898E-3	399.999952E-3	399.999952E-3	399.999952E-3	399.999952E-3
23.464964E-3	-5.704153E-3	-10.958249E-3	399.999927E-3	399.999952E-3	399.999952E-3	399.999952E-3	399.999952E-3
23.476091E-3	-5.707829E-3	-10.968730E-3	399.999950E-3	399.999952E-3	399.999952E-3	399.999952E-3	399.999952E-3
23.487185E-3	-5.727143E-3	-11.044658E-3	399.999966E-3	399.999952E-3	399.999952E-3	399.999952E-3	399.999952E-3
23.494652E-3	-5.754388E-3	-11.157434E-3	399.999975E-3	399.999952E-3	399.999952E-3	399.999952E-3	399.999952E-3
23.496181E-3	-5.778855E-3	-11.264158E-3	399.999979E-3	399.999952E-3	399.999952E-3	399.999952E-3	399.999952E-3
23.492388E-3	-5.791761E-3	-11.325027E-3	399.999978E-3	399.999952E-3	399.999952E-3	399.999952E-3	399.999952E-3
23.486448E-3	-5.789510E-3	-11.318769E-3	399.999975E-3	399.999952E-3	399.999952E-3	399.999952E-3	399.999952E-3
23.482119E-3	-5.774351E-3	-11.250115E-3	399.999970E-3	399.999952E-3	399.999952E-3	399.999952E-3	399.999952E-3
23.481877E-3	-5.752940E-3	-11.146616E-3	399.999964E-3	399.999952E-3	399.999952E-3	399.999952E-3	399.999952E-3
23.485683E-3	-5.733233E-3	-11.047215E-3	399.999959E-3	399.999952E-3	399.999952E-3	399.999952E-3	399.999952E-3
