Record #:  5
Notes :


19/03/201910:43:04Record #:  5
Notes :


19/03/201910:43:04
Volts Data

CH1	CH2	CH3	CH4	CH5	CH6	CH7	CH8	
23.451691E-3	-3.158571E-3	-11.701848E-3	400.031759E-3	399.999952E-3	399.999952E-3	399.999952E-3	399.999952E-3
23.450097E-3	-3.158368E-3	-11.715102E-3	400.030968E-3	399.999952E-3	399.999952E-3	399.999952E-3	399.999952E-3
23.452078E-3	-3.143315E-3	-11.648152E-3	400.026743E-3	399.999952E-3	399.999952E-3	399.999952E-3	399.999952E-3
23.458290E-3	-3.119202E-3	-11.527223E-3	400.020655E-3	399.999952E-3	399.999952E-3	399.999952E-3	399.999952E-3
23.469048E-3	-3.095737E-3	-11.398482E-3	400.014003E-3	399.999952E-3	399.999952E-3	399.999952E-3	399.999952E-3
23.483384E-3	-3.082622E-3	-11.310965E-3	400.007753E-3	399.999952E-3	399.999952E-3	399.999952E-3	399.999952E-3
23.498739E-3	-3.085525E-3	-11.299063E-3	400.002521E-3	399.999952E-3	399.999952E-3	399.999952E-3	399.999952E-3
23.511977E-3	-3.104044E-3	-11.369045E-3	399.998611E-3	399.999952E-3	399.999952E-3	399.999952E-3	399.999952E-3
23.520613E-3	-3.132026E-3	-11.495084E-3	399.996075E-3	399.999952E-3	399.999952E-3	399.999952E-3	399.999952E-3
23.523526E-3	-3.159905E-3	-11.628835E-3	399.994788E-3	399.999952E-3	399.999952E-3	399.999952E-3	399.999952E-3
23.521195E-3	-3.178275E-3	-11.718851E-3	399.994513E-3	399.999952E-3	399.999952E-3	399.999952E-3	399.999952E-3
23.515349E-3	-3.181230E-3	-11.730913E-3	399.994969E-3	399.999952E-3	399.999952E-3	399.999952E-3	399.999952E-3
23.508237E-3	-3.168383E-3	-11.660917E-3	399.995875E-3	399.999952E-3	399.999952E-3	399.999952E-3	399.999952E-3
23.501701E-3	-3.144635E-3	-11.535420E-3	399.996982E-3	399.999952E-3	399.999952E-3	399.999952E-3	399.999952E-3
23.496604E-3	-3.118132E-3	-11.401137E-3	399.998098E-3	399.999952E-3	399.999952E-3	399.999952E-3	399.999952E-3
23.493279E-3	-3.097924E-3	-11.308748E-3	399.999086E-3	399.999952E-3	399.999952E-3	399.999952E-3	399.999952E-3
23.491861E-3	-3.091069E-3	-11.294827E-3	399.999870E-3	399.999952E-3	399.999952E-3	399.999952E-3	399.999952E-3
23.491876E-3	-3.099496E-3	-11.366273E-3	400.000420E-3	399.999952E-3	399.999952E-3	399.999952E-3	399.999952E-3
23.492520E-3	-3.119337E-3	-11.495894E-3	400.000744E-3	399.999952E-3	399.999952E-3	399.999952E-3	399.999952E-3
23.493764E-3	-3.143413E-3	-11.633735E-3	400.000873E-3	399.999952E-3	399.999952E-3	399.999952E-3	399.999952E-3
23.497239E-3	-3.165194E-3	-11.727582E-3	400.000853E-3	399.999952E-3	399.999952E-3	399.999952E-3	399.999952E-3
23.506112E-3	-3.182256E-3	-11.742101E-3	400.000732E-3	399.999952E-3	399.999952E-3	399.999952E-3	399.999952E-3
23.522654E-3	-3.196346E-3	-11.670116E-3	400.000556E-3	399.999952E-3	399.999952E-3	399.999952E-3	399.999952E-3
