time,CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,Column1
1,0.023451691,-0.003158571,-0.011701848,0.400031759,0.399999952,0.399999952,0.399999952,0.399999952,
2,0.023450097,-0.003158368,-0.011715102,0.400030968,0.399999952,0.399999952,0.399999952,0.399999952,
3,0.023452078,-0.003143315,-0.011648152,0.400026743,0.399999952,0.399999952,0.399999952,0.399999952,
4,0.02345829,-0.003119202,-0.011527223,0.400020655,0.399999952,0.399999952,0.399999952,0.399999952,
5,0.023469048,-0.003095737,-0.011398482,0.400014003,0.399999952,0.399999952,0.399999952,0.399999952,
6,0.023483384,-0.003082622,-0.011310965,0.400007753,0.399999952,0.399999952,0.399999952,0.399999952,
7,0.023498739,-0.003085525,-0.011299063,0.400002521,0.399999952,0.399999952,0.399999952,0.399999952,
8,0.023511977,-0.003104044,-0.011369045,0.399998611,0.399999952,0.399999952,0.399999952,0.399999952,
9,0.023520613,-0.003132026,-0.011495084,0.399996075,0.399999952,0.399999952,0.399999952,0.399999952,
10,0.023523526,-0.003159905,-0.011628835,0.399994788,0.399999952,0.399999952,0.399999952,0.399999952,
11,0.023521195,-0.003178275,-0.011718851,0.399994513,0.399999952,0.399999952,0.399999952,0.399999952,
12,0.023515349,-0.00318123,-0.011730913,0.399994969,0.399999952,0.399999952,0.399999952,0.399999952,
13,0.023508237,-0.003168383,-0.011660917,0.399995875,0.399999952,0.399999952,0.399999952,0.399999952,
14,0.023501701,-0.003144635,-0.01153542,0.399996982,0.399999952,0.399999952,0.399999952,0.399999952,
15,0.023496604,-0.003118132,-0.011401137,0.399998098,0.399999952,0.399999952,0.399999952,0.399999952,
16,0.023493279,-0.003097924,-0.011308748,0.399999086,0.399999952,0.399999952,0.399999952,0.399999952,
17,0.023491861,-0.003091069,-0.011294827,0.39999987,0.399999952,0.399999952,0.399999952,0.399999952,
18,0.023491876,-0.003099496,-0.011366273,0.40000042,0.399999952,0.399999952,0.399999952,0.399999952,
19,0.02349252,-0.003119337,-0.011495894,0.400000744,0.399999952,0.399999952,0.399999952,0.399999952,
20,0.023493764,-0.003143413,-0.011633735,0.400000873,0.399999952,0.399999952,0.399999952,0.399999952,
21,0.023497239,-0.003165194,-0.011727582,0.400000853,0.399999952,0.399999952,0.399999952,0.399999952,
22,0.023506112,-0.003182256,-0.011742101,0.400000732,0.399999952,0.399999952,0.399999952,0.399999952,
