Record #:  3
Notes :


19/03/201910:42:19Record #:  3
Notes :


19/03/201910:42:19
Volts Data

CH1	CH2	CH3	CH4	CH5	CH6	CH7	CH8	
23.474968E-3	-4.047177E-3	-11.330856E-3	400.031738E-3	399.999952E-3	399.999952E-3	399.999952E-3	399.999952E-3
23.485561E-3	-4.051747E-3	-11.310104E-3	400.030912E-3	399.999952E-3	399.999952E-3	399.999952E-3	399.999952E-3
23.496595E-3	-4.069432E-3	-11.370333E-3	400.026671E-3	399.999952E-3	399.999952E-3	399.999952E-3	399.999952E-3
23.505109E-3	-4.095406E-3	-11.488904E-3	400.020579E-3	399.999952E-3	399.999952E-3	399.999952E-3	399.999952E-3
23.509748E-3	-4.121623E-3	-11.619784E-3	400.013934E-3	399.999952E-3	399.999952E-3	399.999952E-3	399.999952E-3
23.510334E-3	-4.139204E-3	-11.712505E-3	400.007697E-3	399.999952E-3	399.999952E-3	399.999952E-3	399.999952E-3
23.508163E-3	-4.142200E-3	-11.732458E-3	400.002480E-3	399.999952E-3	399.999952E-3	399.999952E-3	399.999952E-3
23.505578E-3	-4.130129E-3	-11.674023E-3	399.998585E-3	399.999952E-3	399.999952E-3	399.999952E-3	399.999952E-3
23.504471E-3	-4.107602E-3	-11.561046E-3	399.996064E-3	399.999952E-3	399.999952E-3	399.999952E-3	399.999952E-3
23.506204E-3	-4.083198E-3	-11.436526E-3	399.994787E-3	399.999952E-3	399.999952E-3	399.999952E-3	399.999952E-3
23.512054E-3	-4.067395E-3	-11.347647E-3	399.994520E-3	399.999952E-3	399.999952E-3	399.999952E-3	399.999952E-3
23.521799E-3	-4.067775E-3	-11.329744E-3	399.994980E-3	399.999952E-3	399.999952E-3	399.999952E-3	399.999952E-3
23.532704E-3	-4.084697E-3	-11.391856E-3	399.995887E-3	399.999952E-3	399.999952E-3	399.999952E-3	399.999952E-3
23.541403E-3	-4.111745E-3	-11.511046E-3	399.996995E-3	399.999952E-3	399.999952E-3	399.999952E-3	399.999952E-3
23.546154E-3	-4.139361E-3	-11.641494E-3	399.998108E-3	399.999952E-3	399.999952E-3	399.999952E-3	399.999952E-3
23.546902E-3	-4.158131E-3	-11.733647E-3	399.999095E-3	399.999952E-3	399.999952E-3	399.999952E-3	399.999952E-3
23.544507E-3	-4.161604E-3	-11.753505E-3	399.999876E-3	399.999952E-3	399.999952E-3	399.999952E-3	399.999952E-3
23.540307E-3	-4.148605E-3	-11.695124E-3	400.000423E-3	399.999952E-3	399.999952E-3	399.999952E-3	399.999952E-3
23.535467E-3	-4.123438E-3	-11.582010E-3	400.000745E-3	399.999952E-3	399.999952E-3	399.999952E-3	399.999952E-3
23.530668E-3	-4.094269E-3	-11.457399E-3	400.000872E-3	399.999952E-3	399.999952E-3	399.999952E-3	399.999952E-3
23.526452E-3	-4.070750E-3	-11.368539E-3	400.000851E-3	399.999952E-3	399.999952E-3	399.999952E-3	399.999952E-3
23.523465E-3	-4.060997E-3	-11.350080E-3	400.000730E-3	399.999952E-3	399.999952E-3	399.999952E-3	399.999952E-3
23.521975E-3	-4.068194E-3	-11.410386E-3	400.000554E-3	399.999952E-3	399.999952E-3	399.999952E-3	399.999952E-3
23.520961E-3	-4.088396E-3	-11.526502E-3	400.000361E-3	399.999952E-3	399.999952E-3	399.999952E-3	399.999952E-3
23.518382E-3	-4.111822E-3	-11.652519E-3	400.000180E-3	399.999952E-3	399.999952E-3	399.999952E-3	399.999952E-3
23.513070E-3	-4.127627E-3	-11.738359E-3	400.000028E-3	399.999952E-3	399.999952E-3	399.999952E-3	399.999952E-3
23.506148E-3	-4.129055E-3	-11.750078E-3	399.999915E-3	399.999952E-3	399.999952E-3	399.999952E-3	399.999952E-3
23.500308E-3	-4.115858E-3	-11.682934E-3	399.999841E-3	399.999952E-3	399.999952E-3	399.999952E-3	399.999952E-3
23.497664E-3	-4.093204E-3	-11.561863E-3	399.999803E-3	399.999952E-3	399.999952E-3	399.999952E-3	399.999952E-3
23.498658E-3	-4.069236E-3	-11.430977E-3	399.999795E-3	399.999952E-3	399.999952E-3	399.999952E-3	399.999952E-3
23.502768E-3	-4.052911E-3	-11.338244E-3	399.999808E-3	399.999952E-3	399.999952E-3	399.999952E-3	399.999952E-3
